commentId,suggestionId,body,author,link,timestamp
(3182,2161,"\r\n  Starbucks should also install individual waste treatment plants, reservoirs, and paper cup factories in each store. And some of those bicycle generators like on Gilligan's Island (but with laptop mounts). \r\n",SaltyPig,http://mystarbucksidea.force.com/ideaview?id=087500000004EBYAA2,3/20/2008 5:58 AM)
(3183,2161,"\r\n  ok, the bicycle generator Idea is great, don't know about the rest. I remember seeing generators like that on 'Back to the Future 2' in the 'cafe 80's'. Speaking of which, the starbucks experience should be like that. \r\n",mrfusion,http://mystarbucksidea.force.com/ideaview?id=087500000004EBYAA2,3/20/2008 10:24 AM)
(3184,2161,\r\n  Great idea! \r\n,ndb4o,http://mystarbucksidea.force.com/ideaview?id=087500000004EBYAA2,3/23/2008 7:37 PM)
(3185,2161,"\r\n  This is a great idea!!  I live in AZ and we, of all states in this country need to be harnessing solar energy on a mongo scale.  I would love to see it.  Is this a possibility \r\n",AZsunshi,http://mystarbucksidea.force.com/ideaview?id=087500000004EBYAA2,6/27/2008 11:22 AM)
(3186,2161,"\r\n  Yes, and solar-powered EV charging stations!\r\n",GreenJen,http://mystarbucksidea.force.com/ideaview?id=087500000004EBYAA2,1/19/2012 12:03 PM)
(3187,2164,"\r\n  As with other topics of Starbucks employees, it boils down to training.  However, I think you might be suprised at the number of people in general do not know espresso contains less caffeine than the average drip coffee.  I'm not sure if the true level of caffeine in the drinks can be regulated anyway.  It would depend a lot on the brew temperature and brew length combined with the size grind, roast level, and so on.  The FDA can't even efficiently regulate prescription drugs which are supposed to have a stringent quality control so how can you expect them to regulate caffeine levels in a product that depends on so many variables?  Not that I'm defending Starbucks (I disagree with many aspects of their business), but likening them to a drug dealer seems a bit irresponsible and misleading (which in turn causes you to be no more responsible than the practice that you are addressing.) \r\n",rrmeyerh,http://mystarbucksidea.force.com/ideaview?id=087500000004EIFAA2,3/19/2008 5:55 PM)
(3188,2164,"\r\n  I agree with you on the fact that getting exact numbers would be tricky, but general ranges would work wouldn't it? (It pains me even more to see kids chugging down Rockstars and triple lattes, not knowing how much this will effect them in latter years).As for drug dealer, besides the stigma with the name, I think thats actually pretty accurate description.  If people were honest with themselves, though the drinks taste good, its the drug that people are going for...and keeping coming back for.Thus they are drug dealers...dealers of a powerful drug...a drug that happens to currently be 'socially acceptable' and used by the majority of the population, because it fuels the very zeitgeist of our age.Once people start deepening, desiring quality over quantity, slowing down over speeding up, real-time vs. virtuality, my hunch is that the appeal of the drug will lessen.We'll want to be ourselves, the full range of human moods and experience not constantly beefed up by any particular drug-swing.Just my two cents. \r\n",SparkGuy,http://mystarbucksidea.force.com/ideaview?id=087500000004EIFAA2,3/19/2008 6:11 PM)
(3189,2164,"\r\n  Some good resources about the truth about caffeine:\nhttp://healing.about.com/od/readertips/qt/truthcaffeine.htm (book review at about.com)\n\nhttp://stresshelp.tripod.com/id7.html\n\""Clinical Psychologists in the USA have carried out research which indicates that caffeine can be a factor in causing or exacerbating depression and that on removal of caffeine from the diet, depression lifts, and on re-introducing it to the diet again, depression worsens. Caffeine can have an anti-depressant action in small amounts but can have a depressive effect in larger amounts. Caffeine users report significantly higher depression scores when compared to non-users. The higher the total caffeine intake, the more likely the subjects were to suffer from depression. The researchers were unable to identify a clear cut dosage level which produced symptoms.\n\nVitamin B6 is one vitamin involved in the manufacture of serotonin (this chemical is low in people with anxiety and depression). Caffeine depletes the body of vitamin B6, this may be another route where caffeine is involved in depression. \""\n\n\nhttp://psychologytoday.com/articles/pto-20050728-000004.html\n\nhttp://www.holymtn.com/tea/caffeinetruth.htm\n\n\""Addiction risk. More than half of regular caffeine users are apt to suffer withdrawal if they quit abruptly, says Griffiths. You can suffer after giving up just one cup of coffee a day. His new research also finds it takes only three days of taking in 300mg a day to get hooked. Kids are vulnerable, too, says University of Minnesota researchers. Daily for two weeks, 8- to 12-year-olds were given the caffeine in three to five soft drinks. Then the caffeine was cut off. Within 24 hours, the kids' mood and mental performance deteriorated. They had slower reaction times and shorter attention spans. Symptoms lasted two weeks. \""\r\n",SparkGuy,http://mystarbucksidea.force.com/ideaview?id=087500000004EIFAA2,3/22/2008 12:38 PM)
(3190,2165,"\r\n  A number of folks have responded to other posts on first aid with a concern for legal liability.  This is a legitimate concern, but should not interfere with a private citizen's moral (versus legal) right to render first aid.The state of California has a Good Samaritan law that protects first aid responders to some degree, with the following provisos -- (1) you are administering emergency medical care, (2) you act reasonably, based on current best practices, and (3) you don't exceed the limits of your training.So treating first-degree burns with a cold water flush is covered, but performing open-heart massage next to the espresso machine is not.That said, anyone can be sued at anytime for any reason -- that is why commercial establishments must carry lots of liability insurance anyway.A reasonable policy (likely to play well with tort-trial jurors) would be to keep a high-quality well-stocked first aid kit, fire extinguisher, and automated external defibrillator prominently displayed behind the counter, and train all staffers in basic fire safety, first aid, and life support (CPR), with provision for more advanced first aid training for those willing.  If Starbucks were to go the extra distance and pay for the training, pay for annual recertification, and pay their employees to attend it, and keep a good eye on safety and emergency preparedness, they would actually be better protected against safety lawsuits.  First aid training is astoundingly cost-effective, and even a high-end first aid kit (trauma pack) costs surprisingly little.  If Starbucks in-store surveillance videos depicted a well-handled crisis and competent staff doing their best, this would be the strongest possible argument in their defense against any lawsuit.  Far better it shows that, then a bunch of clueless folks milling about, with no aid rendered.  Organizations like the American Red Cross, AHA, CERT, and DAN provide high-quality first aid and CPR training, all of which are nationally recognized.The sad truth is that in disasters most people freeze up and do nothing, lawyers or no lawyers.  Good training in disaster preparedness kicks your cortex into gear when it is needed most.  In certain cities (San Diego and Seattle in my experience) a surprisingly large portion of the customer population already has first aid training (based on their outdoor recreational activities such as scuba diving and mountaineering) so keeping a first aid kit available on-site at Starbucks could prove a life-saver.I imagine that the first news story that provides cellphone video of a well-trained team of Starbucks barristas saving somebody's life with an AED defibrillator (a $1000 unit) will provide plenty of journalists with one-liners about \""kick-starting your heart at Starbucks without the espresso\"" and priceless positive public relations that advertising money just can't buy.  And if it turns out to be a lawyer (or local celebrity) who keels over while waiting in line, you can expect the follow-up story to run annually...  :)  -- Bo Shmorhay \r\n",shmorhay,http://mystarbucksidea.force.com/ideaview?id=087500000004EKJAA2,6/7/2008 5:43 PM)
(3191,2169,\r\n  Figure out a way to cut down the sweating and offer a rebate for bringing the cup back \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3192,2169,\r\n  Agree- I usually take extra napkins \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3193,2169,\r\n  would prefer glass or plastic to paper anything \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3194,2169,\r\n  I have the Same question about recycling \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3195,2169,\r\n  Excellent \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3196,2169,\r\n  Yes to recycling these cups \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3197,2169,\r\n  you mean people do not recycle those cups?! \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3198,2169,\r\n  recycling is important. I bring my own cup as often as possible. \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3199,2169,\r\n  I've been to fast food places where the plastic cups were made of a corn-based biodegradable plastic \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3200,2169,\r\n  I totally agree! \r\n,CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3201,2169,"\r\n  I end up with a puddle of water. Great idea, and being recyclable is good too. \r\n",CustIdea,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,3/18/2008 4:28 PM)
(3202,2169,\r\n  I agree!  I'm writing an article about the plastic recycling efforts made by Starbucks versus Dunkin' Donuts.  Send me your thoughts.  A photo is here:http://www.flickr.com/photos/cpurrin1/2643757345/ \r\n,cpurrin1,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,7/7/2008 3:09 AM)
(3203,2169,"\r\n  Lately, friends and fellow Baristas have been throwing sleeves on our cold-beverage cups.Saves your hands from getting wet, and does reduce the puddle by absorbing a bit.Not so environmentally friendly, but they're already made from recycled materials. \r\n",quinnj,http://mystarbucksidea.force.com/ideaview?id=087500000004CjVAAU,7/17/2008 9:58 PM)
(3204,2178,"\r\n  This is a great idea.  For us loyal parents, maybe even build up scholarship credits every month as we buy and buy and buy coffee... Good thing in general and boosts customer loyalty. \r\n",larrysyc,http://mystarbucksidea.force.com/ideaview?id=087500000004DSEAA2,3/19/2008 1:47 PM)
(3205,2178,"\r\n  I also think this is a great idea. I have spent the last few days here at my starbucks looking for scholarships. It was at this time that I started to wonder that \""why is it that starbucks, who is so involved in the community is not offering scholarships already. Your customer base includes people on the go such as students, teachers, parents. Why not help those who need it. Offer anything from a form to fill out to giveaways, to get scholarships to those who need it.\n\nOnce again thank you for your time.\nxxiceystarzxx\r\n",xxiceystarxx,http://mystarbucksidea.force.com/ideaview?id=087500000004DSEAA2,10/21/2008 12:56 PM)
(3206,2185,\r\n  i made a similar comment about Starbucks partnering with a company like Ceraplast... \r\n,megainia,http://mystarbucksidea.force.com/ideaview?id=087500000004DXnAAM,3/21/2008 8:45 AM)
(3207,2185,"\r\n  Maybe offering alternatives or choices with regards to plastic lids.E.g. \""Would you like a lid with that?\"" \r\n",Lockey3,http://mystarbucksidea.force.com/ideaview?id=087500000004DXnAAM,3/24/2008 10:33 PM)
(3208,2185,"\r\n  A local Boston company, Boloco, serves plastic cups that are biodegradable.  \""This cup grew up in Blair, Nebraska.   \""Its made entirely of corn.  Its 100% compostable.   \""It will disappear no matter what you do with it.   \""Even cups matter.\""(Picture here: http://tinyurl.com/2lrduq) Be nice to see Starbucks do something similar.  Imagine the impact! \r\n",TDefren,http://mystarbucksidea.force.com/ideaview?id=087500000004DXnAAM,3/26/2008 6:37 AM)
(3209,2185,"\r\n  board of health states that we need to put a lid on, no matter what the customer wants \r\n",jekaal4b,http://mystarbucksidea.force.com/ideaview?id=087500000004DXnAAM,3/30/2008 10:13 AM)
(3210,2185,"\r\n  In the spitit of competition, Tully's uses only compostable cups...I think twice when both stores are nearby.Why not use compostable coffee cups, they come in clear \""plastic-like\"" styles too. We are destroying our planet! \r\n",LisaSEA,http://mystarbucksidea.force.com/ideaview?id=087500000004DXnAAM,4/1/2008 8:23 AM)
(3211,2185,\r\n  I agree with this idea as one could only imagine the positive impact on the environment that would result.  Starbucks has been involved in many socially conscious initiatives so why not be the leader in this area too.  Let's take it one step further - once you are on board with these environmentally friendly cups put out a 'challenge' to your competitors (i.e. Tim Horton's - they are a terrible offender - double cupping even!)Not only would this be a great marketing idea (more and more people are 'awakened' to what is happening to our environment and would prefer to purchase products which leave a smaller environmental footprint) but it would make you a leader in this area as well!! \r\n,awakenme,http://mystarbucksidea.force.com/ideaview?id=087500000004DXnAAM,4/6/2008 7:32 AM)
(3212,2185,\r\n  Encourage the use of personal mugs instead!  That would be a much more drastic positive change than recycling! \r\n,jsmith62,http://mystarbucksidea.force.com/ideaview?id=087500000004DXnAAM,4/9/2008 11:14 AM)
(3213,2185,"\r\n  This is my pet peeve. The food case full of plastic clamshells, the plastic lids, the plastic cups, the plastic straws... There's no reason we shouldn't apply our vision to this issue and invest in becoming the greenest coffee company in the world. We refuse to be second to others with respect to our core product, we should pursue our commitment to social responsibility with equal laser-focus. \r\n",pixeltec,http://mystarbucksidea.force.com/ideaview?id=087500000004DXnAAM,4/10/2008 10:32 AM)
(5453,4548,\r\n  or how about you just keep it? i don't know why anyone would want to throw it away- then you're throwing away rewards.\r\n,JavaOcha,http://mystarbucksidea.force.com/ideaview?id=0875000000057CpAAI,10/8/2008 11:16 AM)
(5454,4549,\r\n  Check out what the food safety experts have to say - there's a reason for running water.\r\n,jlnag,http://mystarbucksidea.force.com/ideaview?id=0875000000057DxAAI,10/8/2008 12:46 PM)
(5455,4549,"\r\n  luxotica you really need to get a grip! Have you ever taken a food safety course or have been certified by the Department of Health. If you were to go to the back of any kitchen in a restaurant you will find a lot of diffrent types of water, food ,electric and other forms of waist. PLEASE STOP POSTING THESE VERY HARASSING COMMETS TO STARBUCKS, unless you are posting these same commets to every restaurant, coffee shop,pizza place, sub shop,fast -food chain, and health departments in the world.\r\n",skvlisa,http://mystarbucksidea.force.com/ideaview?id=0875000000057DxAAI,10/8/2008 6:37 PM)
(5456,4549,"\r\n  Yes my understanding is that these dipper wells are common in ice-creams shops too, and function the same way.  Right now Starbucks is looking into their options but the issue is keeping the spoons in the dipper well free of bacterial growth (as I understand it).\r\n",Melody,http://mystarbucksidea.force.com/ideaview?id=0875000000057DxAAI,10/8/2008 6:53 PM)
(5457,4549,\r\n  i find it hard to stand at the counter and watch the massive amounts of running water coming out of the faucet behind the counter. when we are talking about water rationing in california and a potential drought it is mind-boggling to see a faucet running full-force freely with no one even being near the sink - clearly not using the water! i wanted to ask the person working there to turn it off - i can't imagine that they even feel comfortable letting the water run that way. it is ridiculous! i'm reading a starbucks cup/sleeve right now and it says that 'Starbucks is committed to reducing our environmental impact through increased use of post-consumer recycled materials. Help us help the planet.' Why doesn't starbucks start at home by helping us help the planet and turning off the faucet when it's not being used!\r\n,ralph28,http://mystarbucksidea.force.com/ideaview?id=0875000000057DxAAI,4/8/2009 10:24 AM)
(5458,4549,\r\n  Please stop running the water!!!!!!!!!!!!!!!!!!!!!!!!\r\n,savethewater,http://mystarbucksidea.force.com/ideaview?id=0875000000057DxAAI,4/10/2009 5:14 PM)
(5459,4549,"\r\n  No running water = billions of little \""germies\"" in your drink.\r\n",thelgirl7,http://mystarbucksidea.force.com/ideaview?id=0875000000057DxAAI,4/16/2009 3:34 PM)
(5460,4552,"\r\n  Here's an idea:\n\nHave the poor, starving African children\npiss on your utensils instead of wasting\n\nTWENTY THREE  *M I L L I O N*  LITERS\nOF WATER PER DAY\n\nPiss is sterile.\r\n",slippybo,http://mystarbucksidea.force.com/ideaview?id=0875000000057GcAAI,10/9/2008 12:52 AM)
(5461,4552,\r\n  its a SHAME!!!!\nyou better stop it now WORLDWIDE. Turn off the tap! Thanks!\n\nhttp://tinyurl.com/4bkla3\nhttp://tinyurl.com/3nrvkt\n\r\n,maxM,http://mystarbucksidea.force.com/ideaview?id=0875000000057GcAAI,10/9/2008 2:06 AM)
(5462,4552,"\r\n  Its makes money sense to not turn off the tap! Shame on you. I will be spreading the word.  Feck the world, theres money to be made! Consuming the world one cup at a time. Turn off the tap!\r\n",erinbigb,http://mystarbucksidea.force.com/ideaview?id=0875000000057GcAAI,10/9/2008 3:16 AM)
(5463,4555,\r\n  i too would really like to know this!!! i won't eat meat or dairy or eggs but i'll make an exception for cage free or free range eggs and maybe possibly happy cows but i'm okay with your soy milk its really yummy!!\r\n,ficus,http://mystarbucksidea.force.com/ideaview?id=0875000000057JlAAI,10/11/2008 3:26 PM)
(5464,4556,\r\n  Starbucks could start by not quoting just liberal statements on their cups.  Is there not one statement every made by any conservative that Starbucks considers worthy of placing on its cup?  I'd be shocked if there were more than 10 out of all of the qoutes they have printed.  Starbucks' political leaning are already known - to get into the voter turnout business would be a joke. They wouldn't be able to help themselves and it would end up being a democrat love-fest at every Starbucks. Even the music they pick to play and sell at their stores are most of the time that of well-known conservative-hating artists.   Starbucks is already in the political persuasion game.\r\n,Repubgirl,http://mystarbucksidea.force.com/ideaview?id=0875000000057KAAAY,10/13/2008 5:39 PM)
(5465,4558,\r\n  Isn't the idea of a dipper well to keep the germs / bacteria off of the flatware? Reciruclating the same dirty water would not prevent that. \r\n,RKuhl,http://mystarbucksidea.force.com/ideaview?id=0875000000057NsAAI,10/10/2008 2:57 PM)
(5466,4560,"\r\n  Steve, I like your idea better than the response\r\n",UncleEd,http://mystarbucksidea.force.com/ideaview?id=0875000000057RQAAY,4/28/2011 4:40 PM)
(5467,4561,\r\n  starbucks.com/giving\r\n,RKuhl,http://mystarbucksidea.force.com/ideaview?id=0875000000057RVAAY,10/10/2008 2:01 PM)
(5468,4561,\r\n  Great idea\r\n,UncleEd,http://mystarbucksidea.force.com/ideaview?id=0875000000057RVAAY,4/28/2011 4:38 PM)
(5469,4563,"\r\n  I totally agree with you.  Today while I was waiting for my drink, I noticed the water running into a little circular sink.  When asked, the girls told me all the stores did this to keep their spoons rinsed off.  MY GOD !!!  How about using a new spoon each time and then washing them all when you accumulate 10 or 20.  I could not believe the cavalier attitude the staff had toward this precious resource.  No wonder they are losing market share.  They need more than a good product, they need a social conscience !!!\r\n",honeydaisy,http://mystarbucksidea.force.com/ideaview?id=0875000000057SnAAI,10/12/2008 6:26 PM)
(5470,4564,"\r\n  I appreciate all you do well and I am a consumer of your coffee...or at least I HAVE been. Much to my dismay I recently heard that your company wastes 10 million gallons of water a day by running a water faucet all day.  Difficult to fathom the reasoning behind this practice. My husband just nearly bought me a gift card today from a location on NW Expressway (in Target)in Oklahoma City and actually saw the water running in the sink.  He did not buy the gift card.\nI cannot tell you how disappointed I am to hear of this enormous waste.  \nPlease, please, please do something about this. I cannot bring myself to continue purchasing your coffee knowing you're wasting such a valuable resourse. \r\n",katemark,http://mystarbucksidea.force.com/ideaview?id=0875000000057TgAAI,10/10/2008 5:39 PM)
(10295,6450,"\r\n  Except that they don't let you choose. I use to work in retail, and whether you liked it or not, depending on what the manager said, you had to work Christmas day, boxing day and now New Year's day...so for those who DO celebrate it, it's not a \""win, win\"" situation...and at least 95% of Americans (only Americans) celebrate Christmas...that's 286 082 975 out of 301 139 147 American people celebrate Christmas. That's a lot of people so out of 10 people that's 9.5 people. Canadians spent $28.7 billion dollars in retail stores last December....to me that there says enough people celebrate Christmas to make this NOT a \""win, win situation\"" but instead a losing one. (all data from Stats Canada and Stats America...government sites)\n\r\n",linden16,http://mystarbucksidea.force.com/ideaview?id=08750000000HA18AAG,12/1/2010 5:22 PM)
(13009,7301,"\r\n  \""We do. Starbucks hires the best candidates that apply.Companies cannot hire people based on things like race, gender, religion, sexual orientation, etc. There is no way to ask on an application. It would be a rights violation.\""\nBarista_Marie, please. Of course they wouldn't ask. And your name could never indicate your gender or your race. Ever, right?\n\n\""I'm sure Starbucks hires a lot ofqualifiedminorities, at least they do in the few stores I have been in.\""\n1. Hooray for you!\n2. I don't care about the few stores you've been in. Also, \""it's not a good idea to make generalized statements like that without proof to back it up and it only shows your ignorance\"".\n3. Lastly, I didn't realize I mentioned anything about baristas. So why the comment about stores?\r\n",FMG,http://mystarbucksidea.force.com/ideaview?id=08750000000HZgzAAG,7/21/2011 11:19 AM)
(13010,7301,"\r\n  FMG- apparently some very well meaning people jump to all sorts of conclusions, as I pointed out. This makes it much easier to spot those who are truly the \""ignorant\"" ones here. Asking for further clarification, before jumping to all sorts of wild conclusions, would likely have been the better approach.\n@FMG- would you care to add to add to your brief comment, so that people may try and constructively add to this discussion.\r\n",SummerBends,http://mystarbucksidea.force.com/ideaview?id=08750000000HZgzAAG,7/21/2011 11:45 AM)
(13011,7301,"\r\n  I apologise starbucks hires the best employees, not baristas just to gently add to this discussion, it was my fault I mentioned baristas.\r\n",caramelpecan,http://mystarbucksidea.force.com/ideaview?id=08750000000HZgzAAG,7/21/2011 1:06 PM)
(13012,7301,"\r\n  FMG, does that mean you only care about ethnic minorities? Can you tell one's religion and sexual orientation from an application? Maybe, at times, you can identify one's ethnicity by name, sure. Do you mean that Starbucks purposely hires more women than men or vice versa, and prefers names that sound like they're from a particular region? What evidence do you have of this?\n'Barista_Marie, please. Of course they wouldn't ask'...\nHow do you hire minorities online without first asking if they're minorities? Schedule 100 people for a job interview at the same time and then go out and find the most different candidate that showed up?\r\n",Barista_Marie,http://mystarbucksidea.force.com/ideaview?id=08750000000HZgzAAG,7/21/2011 8:33 PM)
(13013,7302,"\r\n  I, too, am quite disappointed that the new packaging is not recyclable.\nI agree, SHAME ON YOU, STARBUCKS.\nI also dislike the way they are sealed. I'm not sure how much morematerial was needed to seal them up with a large label,green strips that need to betorn on either side, plus a piece of tape, but the other packagingwas much easier to get into. Just pop the top off and you're good to go...\n\n\r\n",kdeadwy,http://mystarbucksidea.force.com/ideaview?id=08750000000HZjeAAG,7/23/2011 12:25 PM)
(13014,7303,\r\n  Nothing in that article says that only the US stores raised prices.\r\n,gobo,http://mystarbucksidea.force.com/ideaview?id=08750000000HZmOAAW,7/22/2011 9:43 AM)
(13015,7303,"\r\n  That article does not say that Starbucks did not raise prices in any other country. It references the US as that is its core readership, and because it cited a specific percentage. Who knows, maybe Starbucks raised prices 11 percent in one country and 40 percent in another. Do you have any concrete evidence that prices were not increased in any other country?\r\n",amandanor,http://mystarbucksidea.force.com/ideaview?id=08750000000HZmOAAW,7/22/2011 10:21 AM)
(13016,7303,"\r\n  If you were to read international finacial news, you would find that prices are escalating in all countries.\r\n",DadCooks,http://mystarbucksidea.force.com/ideaview?id=08750000000HZmOAAW,7/22/2011 2:30 PM)
(13017,7304,\r\n  great idea i definitely need more coffee on fridays\n\r\n,smoothie7272,http://mystarbucksidea.force.com/ideaview?id=08750000000HZooAAG,7/22/2011 10:41 PM)
(13018,7304,"\r\n  Or you could bring back the breakfast pairings, the best promotion ever.\r\n",carollk,http://mystarbucksidea.force.com/ideaview?id=08750000000HZooAAG,7/23/2011 6:37 AM)
(13019,7305,"\r\n  OMG!!\nThis is quite an accusation. Somethingto be backed up by a professional with known facts, not just those that I've read somewhere that methylene has been known to harm animals and possible death of those animals, but how it effect humans which is what you are referring to here. Obviously some people will automatically say, well if it affects animals, it will do the same for humans. Not always the case.\nI doknow the chemical itself methylene can cause the certain cancer you stated above, but that is as a chemical, breathing it, having close contact to it, it's also used in a lot of household items, cleaning products, which you should change to more organic ways to clean your home instead of the harsh chemicals used nowadays to begin with. But we are talking about coffee here, and you need to back this up with some evidence that what you are stating is true and correct when AGAIN is related to the coffee process and coffee process only used to make decaf coffee. I'm not justifying this particular system used at all, but cannot say its wrong either because I don't know all of the fact involved. I am always happier to hear a more natural way of doing things, but I am curious as to how you've found this to be potentially harmfulfrom the coffee process to the human body. I think there is alot more to it than just scaring people in thinking that they can get cancer by drinking decaf coffee, where the system methylene chloride is used to make the coffee become from its natural state to decaf.\nAlthough you also state the possibilities are small and even none for someone to get cancer by drinking decaf, the word cancer can and will scare a lot of people off, those that have had cancer and those that obviouslywould avoid any/all things that can potentially cause it,and in this case for not particular reasons to even mention it unless its conformed by someone in the field.\r\n",Serpico,http://mystarbucksidea.force.com/ideaview?id=08750000000HXioAAG,7/2/2011 11:15 AM)
(13020,7305,"\r\n  Hi Serpico,\nThe NIH and EPA both list methylene chloride (aka Dichloromethane or DCM) as a probable carcinogen. OSHA likewise lists the chemical as a potential occupational carcinogen.\nTo quote the NIH, \""Dichloromethane is reasonably anticipated to be a human carcinogen based on sufficient evidence of carcinogenicity from studies in experimental animals.\"" Reference: http://ntp.niehs.nih.gov/ntp/roc/twelfth/profiles/Dichloromethane.pdf\nThe EPA classifies it as a a B2 carcinogen, meaning that while animal testing clearly indicates the chemical causes cancer, there is insufficient evidence from epidemiologic studies to confirm human carcinogenicity. Reference: http://www.epa.gov/iris/subst/0070.htm\nI am not claiming that Starbucks decaf causes cancer. I certainly hope not since I drink at least one grande cup a day. I understand that DCM evaporates at 100-degrees and that Starbucks roasts their beans at 400-degrees subsequent to treating them with DCM, thus reducing the amount of DCM in the coffee to unmeasurable levels. My point, and thus the placing of this idea under \""social responsibility\"", is that all that DCM has to go someplace after it is used. Starbucks use of this chemical is not in keeping with their stated goal of being responsible and doing things that are good for the planet. I personally do no like knowing that my patronage of Starbucks is being used to support purchase and use of DCM.\r\n",nbobbin,http://mystarbucksidea.force.com/ideaview?id=08750000000HXioAAG,7/2/2011 12:40 PM)
(13021,7305,\r\n  You all had better stop breathing! Because there is 3 times more pollution in a house from chemicals than outside! RUN! The sky is falling! (My stat is not made up by the way).\r\n,involvedone,http://mystarbucksidea.force.com/ideaview?id=08750000000HXioAAG,7/3/2011 5:16 AM)
(13022,7305,\r\n  involvedone\nI fail to see the relevance of your reply. Are you in favor of Starbucks using tons of DCM annually or would you prefer to see them switch to a non-toxic method of decaffeinating their coffee?\r\n,nbobbin,http://mystarbucksidea.force.com/ideaview?id=08750000000HXioAAG,7/3/2011 7:39 AM)
