user,friend_1,friend_2,friend_3
Beanz04\n,JoyMar\n,poop1\n,juthu\n
bholland25\n,pumpkinlover97\n,Ironman6\n,sola\n
christam\n,wyfantnt\n,drgreenis\n,valetmom\n
ceci22\n,act7p\n,CoffeePerk\n,Smoppes1\n
eqitec\n,briand92\n,BrianS2427\n,redsteve\n
micromac\n,croszell\n,wakkopoe\n,litbit\n
Abbie4me2\n,Pgy\n,mistyacr\n,krisi53\n
poop1\n,Beanz04\n,juthu\n,JoyMar\n
marbux\n,roxy23_66\n,MsmileyD\n,krisi53\n
NEGal\n,dana_s\n,COFFEEIS\n,Taco\n
rmhl\n,geralyn\n,mistyacr\n,Coffee2go\n
Coffee2go\n,delxis\n,winstonsalem\n,LisetteWannem\n
acecowboy\n,Crzymn711\n,cater\n,act7p\n
ThalwilGirls\n,JoyMar\n,COFFEEIS\n,JasonB\n
BrianBe\n,rjmonta\n,swheart\n,Marcusnu\n
carlkent\n,chads\n,sullygirl\n,mickeygrumpy\n
Ungreen\n,nodrive\n,grandeskimcap\n,jagfan7\n
Mojoatl\n,pechipy\n,Justlovecoffee\n,MCommerce\n
MRJEFF\n,izzy2000\n,maryjack\n,mrf167\n
theharryo\n,JulesCoffee\n,themebiz\n,caprafan\n
Seer99\n,geralyn\n,LindyNichols\n,rmhl\n
SusieBrown\n,CoffeePerk\n,Smoppes1\n,winstonsalem\n
mickeygrumpy\n,George4ever\n,vegasjoe\n,Taco\n
Vemma\n,naveenurs\n,polira\n,Pgy\n
ggval\n,Jitendra\n,MerciJim\n,dkato24\n
tinahrfi\n,holliday\n,AndyinPgh\n,vegasjoe\n
Frapp_Fanatic\n,cindabeckm\n,Hope21\n,SD128\n
caprafan\n,Smoppes1\n,tahiti\n,pdxstacey\n
TonyOne\n,litbit\n,polira\n,wakkopoe\n
cmlstudio\n,Natedogg2323\n,naveenurs\n,chicagoj\n
dlang\n,MakeBucks\n,Darkkprncess\n,sullygirl\n
mt26\n,micromac\n,croszell\n,imajen11\n
AndyinPgh\n,holliday\n,ArborMt\n,CharliesGG\n
Sean28\n,coffee920\n,GIVENRECEIVE\n,Ruthy\n
markds\n,Justlovecoffee\n,3BE38A54-67F8-4471-A195-8CAF9D2B20C3\n,act7p\n
jerryw\n,chicagoj\n,CaptainChris\n,pechipy\n
holmesr1\n,nedrey\n,RVance\n,Target362\n
KingTim\n,TonyOne\n,LisetteWannem\n,litbit\n
pdxstacey\n,caprafan\n,SusieBrown\n,savegreenbacks\n
Featherly\n,stephs2\n,victorious1\n,newcustomer22\n
mo_java\n,followon\n,PFraley\n,robertde\n
drgreenis\n,imajen11\n,valetmom\n,jordantheginga\n
XeoinArktos\n,chads\n,Ellsswhere\n,me32\n
stephs2\n,Featherly\n,victorious1\n,queenflyer\n
El_silverstein\n,calcal89\n,NYCDIVA\n,kell\n
valetmom\n,COFFEEIS\n,drgreenis\n,litbit\n
fpalmer321\n,tkdmom\n,eabjork\n,CoffeePerk\n
ltaylor1\n,micromac\n,TonyOne\n,wakkopoe\n
joseR\n,act7p\n,Delilah\n,3BE38A54-67F8-4471-A195-8CAF9D2B20C3\n
kand\n,mukeshrijhwani\n,Slew\n,luvestima\n
violino1\n,JCD\n,BruinJef\n,CAR116\n
drakis\n,r_m_p\n,morningrunner\n,kai6novi\n
Beebalm\n,KoolKups\n,kai6novi\n,carlkent\n
hannavas\n,MerciJim\n,Delilah\n,sbxdadx3\n
DecafDiva0702\n,sdpetrarca\n,Slew\n,sdflyer\n
svensgirl\n,kai6novi\n,addwhip\n,r_m_p\n
APuckNut\n,3BE38A54-67F8-4471-A195-8CAF9D2B20C3\n,CoffeePerk\n,forgottenhome\n
LisetteWannem\n,NYCDIVA\n,Duukes\n,calcal89\n
taishabka\n,scoobydo\n,URFrapismydrug\n,LewisburgStar\n
Coffe5oh\n,kai6novi\n,addwhip\n,r_m_p\n
coffeetweaker\n,LynnShaw\n,mt26\n,aesun\n
Bill3059\n,quaildogs\n,ColoradoJohn\n,act7p\n
margopol\n,britbabe\n,masterd1996\n,BruinJef\n
HERSCH\n,Cruzle\n,karli\n,bigjamdaddy\n
nodrive\n,britbabe\n,briand92\n,MsmileyD\n
markja\n,CM_\n,philc77\n,Slew\n
naveenurs\n,cmlstudio\n,Sparkay\n,KrystaandIan\n
Pgy\n,mistyacr\n,Abbie4me2\n,flutterbyy\n
2goodforu\n,jane2323\n,mrjimmy\n,KrystaandIan\n
jramire2\n,tahiti\n,BruinJef\n,caprafan\n
Crzymn711\n,Terra75\n,acecowboy\n,cater\n
AcceptableSN\n,ceci22\n,chicagoj\n,CoffeePerk\n
juthu\n,Beanz04\n,poop1\n,JoyMar\n
FmrBrsta\n,ArborMt\n,xpressoh\n,d8ad52c9-0b46-4a43-9177-b8d59bf74367\n
harrystyles\n,davidrdriscoll\n,Beezer1\n,coffee31\n
CPUwhiz\n,Beezer1\n,Target362\n,lsophia\n
mokie_bu\n,JulesCoffee\n,savegreenbacks\n,BruinJef\n
jseek21\n,masterd1996\n,ArborMt\n,fretman\n
happylady\n,kai6novi\n,r_m_p\n,Coffe5oh\n
mamamiacher\n,chads\n,Superchick21\n,dchu220\n
elgundaker\n,beanista\n,laur2835\n,evolution\n
Celinefan\n,JavaGiuseppe\n,eabjork\n,act7p\n
VentWhiteMocha\n,bigjamdaddy\n,coffeeloverxD1\n,Ironman6\n
masterd1996\n,savegreenbacks\n,BruinJef\n,margopol\n
OnTheFritts\n,PavelL\n,ranesbitt14\n,URFrapismydrug\n
caaarli\n,mcgutierrez01\n,addwhip\n,El_silverstein\n
Meghraj\n,Richar62\n,chicagoj\n,Raven40\n
fretman\n,FN2388\n,jseek21\n,Snipe73\n
evolution\n,pechipy\n,CaptainChris\n,CharlesDollars\n
1961\n,icedventima\n,seallid\n,pakowki\n
denisehanna23\n,Superchick21\n,wakkopoe\n,OurMTDN\n
swheart\n,Jcbueno\n,davidrdriscoll\n,CoffeeQwn\n
followon\n,mo_java\n,HotAlt\n,PFraley\n
zarkesh\n,Janice1951\n,katko\n,imajen11\n
cdsamurai\n,bballmer\n,Dbakess\n,Stockton\n
starmyoren\n,kell\n,Darkkprncess\n,SoyVnila\n
Ironman6\n,bholland25\n,MaryLiza\n,phuqr\n
queenflyer\n,mcmorales\n,ac5895\n,AliceZhang1234\n
scarby\n,plztrustme\n,chinxiaoluke\n,dlang\n
L2W\n,r_m_p\n,clpnyc\n,mrf167\n
newcustomer22\n,picmeup\n,John_Smilez\n,calcal89\n
RevJohn\n,Terra75\n,runningson\n,HotAlt\n
heyangelo\n,dabeho\n,bballmer\n,swheart\n
musicn7\n,coffee31\n,starbaby\n,zizzle\n
Adrianadazo\n,pechipy\n,tankmacman\n,fpalmer321\n
Katiekat\n,StrbckIdea\n,CaptainChris\n,pechipy\n
starbaby\n,and_more\n,musicn7\n,zizzle\n
imajen11\n,drgreenis\n,jordantheginga\n,Janice1951\n
JoeH\n,OurMTDN\n,Beezer1\n,JML1514\n
izzy2000\n,jordantheginga\n,valetmom\n,imajen11\n
jagfan7\n,valetmom\n,tanyaj\n,drgreenis\n
teodor2rempel\n,Smoppes1\n,caprafan\n,grotepimmel\n
philc77\n,Delilah\n,markja\n,BruinJef\n
helix\n,CoffeePerk\n,chicagoj\n,act7p\n
trkraha\n,kai6novi\n,roxy23_66\n,r_m_p\n
judyvermont\n,r_m_p\n,kai6novi\n,JulieM\n
Packerfan1966\n,flutterbyy\n,Mouse720\n,SD128\n
BigLesCov\n,anjojajo99\n,tkdmom\n,3BE38A54-67F8-4471-A195-8CAF9D2B20C3\n
MelissaM\n,coffee31\n,musicn7\n,mandymanesh\n
TonyML\n,LynnShaw\n,gameplan\n,mamamiacher\n
croszell\n,micromac\n,pikachiu132\n,Pgy\n
JCD\n,chads\n,violino1\n,MLoria\n
Superchick21\n,wakkopoe\n,denisehanna23\n,mamamiacher\n
micheleh\n,chicagoj\n,Bill3059\n,ceci22\n
CaptainChris\n,pechipy\n,adob50\n,jerryw\n
jmiller\n,hollister503\n,drakis\n,Janice1951\n
r_m_p\n,kai6novi\n,judyvermont\n,JulieM\n
cmwkrn\n,jctorres\n,maxwell9\n,Jivejava\n
CharliesGG\n,ArborMt\n,bdowning42\n,jseek21\n
plztrustme\n,scarby\n,ddwife\n,masterd1996\n
M123456U\n,erookey\n,jeniel\n,pdxstacey\n
another8a\n,Stellaaaaa\n,1yogagirl\n,Janice1951\n
blkeye23\n,gwen1975\n,adw3566\n,swheart\n
addwhip\n,Coffe5oh\n,kai6novi\n,svensgirl\n
emariceg\n,zizzle\n,ShawnaNichole\n,sbxdadx3\n
PeaceLuvCoffee\n,kathybme\n,marbux\n,rdiamond\n
knwinter\n,URFrapismydrug\n,me32\n,grotepimmel\n
fayannre\n,Marcusnu\n,CatalinaM\n,Bill3059\n
trironma\n,Ellsswhere\n,ArborMt\n,longhrs\n
charleereno\n,raeolite\n,carlkent\n,pdxstacey\n
LynnShaw\n,ciratoby\n,maxwell9\n,TonyML\n
cecyhendersman\n,angielewhoo\n,scarby\n,MikefromCement\n
YUMMYGOOD\n,pumpkinlover97\n,Marcusnu\n,SBXMAM\n
chinxiaoluke\n,tjohnson1978\n,BuckeyeMan\n,kdlele\n
seallid\n,1961\n,Dulce\n,KoolKups\n
Decaf13\n,act7p\n,chicagoj\n,eabjork\n
Cruzle\n,Stellaaaaa\n,PamCan\n,ann26\n
Bendite\n,harleyflanders\n,LindyNichols\n,JulieM\n
JulieM\n,r_m_p\n,judyvermont\n,kai6novi\n
litbit\n,TonyOne\n,ac5895\n,wakkopoe\n
maxwell9\n,leelamay\n,jramire2\n,LynnShaw\n
SD128\n,flutterbyy\n,Packerfan1966\n,Mouse720\n
Jcbueno\n,supercoupe\n,ranesbitt14\n,swheart\n
Snipe73\n,fretman\n,HotAlt\n,billyjoel\n
dkato24\n,COFFEEIS\n,bballmer\n,Pam\n
JML1514\n,cater\n,CoffeeMugged\n,burogal\n
Mouse720\n,flutterbyy\n,Packerfan1966\n,SD128\n
anjojajo99\n,ciratoby\n,MRJEFF\n,redsteve\n
ErrNET\n,CoffeePerk\n,act7p\n,helix\n
RVance\n,Coffee2go\n,ciratoby\n,Lisergishnu\n
Indyleader\n,proudwifeada\n,Coffee2go\n,CoffeeMugged\n
Marcusnu\n,YUMMYGOOD\n,sbxdadx3\n,fayannre\n
1yogagirl\n,Stellaaaaa\n,dizzygirl\n,another8a\n
Houlke\n,shantelj\n,pumpkinlover97\n,Sneffi\n
katko\n,imajen11\n,sola\n,rphailey\n
gameplan\n,Coffee2go\n,theharryo\n,adw3566\n
HotAlt\n,nedrey\n,sola\n,Terra75\n
tk7997\n,xpressoh\n,Cheeka\n,Coffee2go\n
tankmacman\n,laur2835\n,Adrianadazo\n,cynthiachen\n
Raven40\n,miracle27\n,Smoppes1\n,laur2835\n
savegreenbacks\n,ranesbitt14\n,Willards69\n,masterd1996\n
PamCan\n,Cruzle\n,shannytan82\n,adob50\n
bigtrouble1\n,flutterbyy\n,Packerfan1966\n,Mouse720\n
JAMF\n,SoyVnila\n,sdflyer\n,KingTim\n
ranesbitt14\n,Natedogg2323\n,Willards69\n,supercoupe\n
geralyn\n,Delilah\n,rmhl\n,sola\n
morningrunner\n,drakis\n,URFrapismydrug\n,leelamay\n
tanyaj\n,jagfan7\n,hollister503\n,masterd1996\n
AsaTibb\n,coffee31\n,holliday\n,Coffee2go\n
MerciJim\n,hannavas\n,Coffee2go\n,izzy2000\n
Lisergishnu\n,CoffeePerk\n,eabjork\n,tkdmom\n
Kototi\n,JAMF\n,sdflyer\n,Flygjava\n
mcmorales\n,queenflyer\n,ac5895\n,SoyVnila\n
picmeup\n,newcustomer22\n,Jllman\n,Serhattas\n
NimbleBean\n,BTR\n,Justlovecoffee\n,forgottenhome\n
dizzygirl\n,act7p\n,eabjork\n,CoffeePerk\n
KingSJB\n,sbxdadx3\n,CM_\n,margopol\n
MikefromCement\n,Dulce\n,Stache\n,banity\n
AtHome\n,katko\n,dabeho\n,CoffeeQ\n
MCommerce\n,PFraley\n,Mojoatl\n,ceci22\n
John_Smilez\n,newcustomer22\n,sdpetrarca\n,pumpkinlover97\n
JulesCoffee\n,theharryo\n,masterd1996\n,judyvermont\n
mukeshrijhwani\n,kand\n,shawndy74\n,coffee920\n
carnetto\n,mandymanesh\n,KingTim\n,gwen1975\n
lj301\n,cater\n,sdpetrarca\n,DecafDiva0702\n
Rubicon\n,luvestima\n,dabeho\n,jacobsmom\n
themebiz\n,theharryo\n,drgreenis\n,jagfan7\n
CustIdea0001\n,ltaylor1\n,valetmom\n,TonyOne\n
polira\n,TonyOne\n,wakkopoe\n,litbit\n
dustina25\n,KarineRivet\n,litbit\n,sullygirl\n
sbxdadx3\n,Marcusnu\n,tictoc\n,redsteve\n
BrianS2427\n,winstonsalem\n,FmrBrsta\n,eqitec\n
Shelbysac\n,kai6novi\n,r_m_p\n,Coffe5oh\n
act7p\n,ceci22\n,chicagoj\n,CoffeePerk\n
NYCDIVA\n,LisetteWannem\n,El_silverstein\n,Duukes\n
ac5895\n,litbit\n,queenflyer\n,mcmorales\n
cynthiachen\n,Willards69\n,ranesbitt14\n,tankmacman\n
shawndy74\n,coffee920\n,Sean28\n,eabjork\n
shannytan82\n,Sean28\n,LindyNichols\n,cmlstudio\n
KramStarbucks\n,BonMik\n,Bill3059\n,CoffeePerk\n
missesau\n,tahiti\n,caprafan\n,alenem\n
bdowning42\n,ArborMt\n,CharliesGG\n,briand92\n
ingridaparicio\n,FreeHots\n,billyjoel\n,kiely\n
BTR\n,NimbleBean\n,Justlovecoffee\n,ranesbitt14\n
quaildogs\n,tkdmom\n,CoffeePerk\n,Bill3059\n
LewisburgStar\n,URFrapismydrug\n,MLoria\n,taishabka\n
Justlovecoffee\n,BTR\n,markds\n,ranesbitt14\n
Ryan19908\n,tanyaj\n,imajen11\n,tictoc\n
Lompie\n,Terra75\n,acecowboy\n,chicagoj\n
VAMPESS7\n,Inspired87\n,jordantheginga\n,fpalmer321\n
KrystaandIan\n,mrjimmy\n,eabjork\n,CoffeePerk\n
KBC1969\n,mickeygrumpy\n,atomicb\n,harleyflanders\n
Sarahski\n,laur2835\n,chicagoj\n,evolution\n
tkdmom\n,fpalmer321\n,eabjork\n,CoffeePerk\n
kell\n,starmyoren\n,Darkkprncess\n,calcal89\n
mani123\n,sola\n,maryjack\n,d8ad52c9-0b46-4a43-9177-b8d59bf74367\n
proudwifeada\n,quaildogs\n,Indyleader\n,helix\n
winstonsalem\n,act7p\n,chicagoj\n,Coffee2go\n
jctorres\n,cmwkrn\n,ArborMt\n,Mannagal\n
jefry\n,picmeup\n,GIVENRECEIVE\n,ciratoby\n
Slew\n,DecafDiva0702\n,SBXMAM\n,sdpetrarca\n
maijaahonen\n,ac5895\n,litbit\n,John_Smilez\n
aesun\n,act7p\n,picmeup\n,cvann077\n
SBXMAM\n,Slew\n,YUMMYGOOD\n,COFFEEIS\n
maryjack\n,Ruthy\n,imajen11\n,rphailey\n
FoodieP\n,CoffeeQwn\n,jordantheginga\n,phuqr\n
latte_girl00\n,CaribQT\n,marbux\n,krisi53\n
Hugger\n,roxy23_66\n,litbit\n,trkraha\n
chicagoj\n,act7p\n,ceci22\n,KrystaandIan\n
redsteve\n,ShawnaNichole\n,tictoc\n,ciratoby\n
Terbuz\n,flutterbyy\n,Mouse720\n,Packerfan1966\n
clpnyc\n,sdflyer\n,L2W\n,mrf167\n
CatalinaM\n,OurMTDN\n,necprc\n,trironma\n
coffeeloverxD1\n,ShawnaNichole\n,phuqr\n,Cheeka\n
JasonB\n,davidrdriscoll\n,edm15\n,me32\n
harleyflanders\n,kai6novi\n,r_m_p\n,atomicb\n
George4ever\n,mickeygrumpy\n,AndyinPgh\n,frankie1\n
krisi53\n,roxy23_66\n,Pgy\n,mistyacr\n
tealemonade\n,N175312\n,sgurney\n,eabjork\n
KoolKups\n,miracle27\n,Whiteknuckle\n,Beebalm\n
FN2388\n,fretman\n,Decaf13\n,newcustomer22\n
StrbckIdea\n,adob50\n,Katiekat\n,Delilah\n
Pablo\n,luvestima\n,chads\n,calcal89\n
kathybme\n,PeaceLuvCoffee\n,chicagoj\n,act7p\n
icedventima\n,pakowki\n,1961\n,VAMPESS7\n
alyshagray\n,erookey\n,Hope21\n,JulieM\n
flutterbyy\n,Packerfan1966\n,Mouse720\n,SD128\n
Dr_Mupapa\n,grandeskimcap\n,picmeup\n,Sarahski\n
eabjork\n,fpalmer321\n,tkdmom\n,CoffeePerk\n
capitts\n,sgurney\n,pdxstacey\n,masterd1996\n
sbhippie\n,cindabeckm\n,jacobsmom\n,Hugger\n
SoyVnila\n,mcmorales\n,kell\n,JAMF\n
ArborMt\n,CharliesGG\n,jctorres\n,AndyinPgh\n
cafebeagle\n,wakkopoe\n,cindabeckm\n,cynthiachen\n
brownsweet\n,BigLesCov\n,BruinJef\n,Featherly\n
mrjimmy\n,KrystaandIan\n,ddwife\n,chicagoj\n
Pam\n,COFFEEIS\n,dkato24\n,scoobydo\n
Smoppes1\n,caprafan\n,ceci22\n,Raven40\n
Kkrame\n,ann26\n,geralyn\n,trironma\n
MsmileyD\n,marbux\n,carameljava\n,dana_s\n
Dulce\n,tahiti\n,wakkopoe\n,banity\n
mistyacr\n,Pgy\n,MaryLiza\n,Abbie4me2\n
klebsack\n,me32\n,grantrss\n,Cheeka\n
ericj610\n,masterd1996\n,fretman\n,MaryLiza\n
banity\n,tahiti\n,Dulce\n,jramire2\n
sola\n,mani123\n,mcmorales\n,katko\n
Lbrandy1\n,geralyn\n,gjkoras\n,NJJenn74\n
rjmonta\n,jane2323\n,BrianBe\n,newcustomer22\n
Inspired87\n,VAMPESS7\n,Coffe5oh\n,addwhip\n
CaribQT\n,MakeBucks\n,d8ad52c9-0b46-4a43-9177-b8d59bf74367\n,carameljava\n
davidrdriscoll\n,swheart\n,vegasjoe\n,JasonB\n
and_more\n,starbaby\n,sola\n,chads\n
Willards69\n,ranesbitt14\n,cynthiachen\n,savegreenbacks\n
Delilah\n,geralyn\n,adob50\n,philc77\n
tictoc\n,imajen11\n,luke\n,katko\n
raeolite\n,pdxstacey\n,leelamay\n,charleereno\n
xpressoh\n,tk7997\n,ArborMt\n,FmrBrsta\n
MLoria\n,LewisburgStar\n,JCD\n,coffee31\n
sasoderl\n,queenflyer\n,mcmorales\n,ac5895\n
NJJenn74\n,Celinefan\n,Lbrandy1\n,KingTim\n
Tripp\n,coffee31\n,markds\n,tanyaj\n
SunnySD\n,gwen1975\n,klebsack\n,M123456U\n
KarineRivet\n,dustina25\n,jordantheginga\n,coffeeloverxD1\n
UncleBuck\n,gjkoras\n,chicagoj\n,act7p\n
zhuchen\n,rmhl\n,ranesbitt14\n,supercoupe\n
ann26\n,pikachiu132\n,Kkrame\n,Cruzle\n
ElSchteek\n,scoobydo\n,COFFEEIS\n,burogal\n
billyjoel\n,burogal\n,JML1514\n,XeoinArktos\n
adob50\n,Delilah\n,CaptainChris\n,StrbckIdea\n
traceyfitz\n,Jllman\n,picmeup\n,Serhattas\n
tahiti\n,caprafan\n,missesau\n,alenem\n
lsophia\n,Target362\n,nedrey\n,Beezer1\n
Flygjava\n,denisehanna23\n,shawndy74\n,calcal89\n
frankie1\n,maryjack\n,Ruthy\n,Janice1951\n
forgottenhome\n,tkdmom\n,eabjork\n,CoffeePerk\n
dabeho\n,AtHome\n,Stache\n,Rubicon\n
miracle27\n,Raven40\n,Smoppes1\n,KoolKups\n
Coppergirl\n,kiely\n,briand92\n,Janice1951\n
gjkoras\n,UncleBuck\n,jane2323\n,BTR\n
venice\n,chicagoj\n,act7p\n,tankmacman\n
me32\n,sewergurl\n,klebsack\n,JasonB\n
msherry1000\n,cookieknits\n,Stache\n,BrianS2427\n
Dbakess\n,Ellsswhere\n,OStateOK\n,AcceptableSN\n
jane2323\n,2goodforu\n,gjkoras\n,Jitendra\n
GIVENRECEIVE\n,coffee920\n,Sean28\n,JavaGiuseppe\n
keokab\n,banity\n,pechipy\n,Chaidye\n
mcgutierrez01\n,caaarli\n,Abbie4me2\n,SBXMAM\n
OStateOK\n,Ellsswhere\n,Dbakess\n,chads\n
Harley50th\n,margopol\n,1961\n,britbabe\n
FloridaTeacher\n,coffee31\n,M123456U\n,JavaGiuseppe\n
Ellsswhere\n,chads\n,OStateOK\n,Dbakess\n
starbucks4reg\n,PavelL\n,CAR116\n,luke\n
grantrss\n,klebsack\n,britbabe\n,markja\n
d8ad52c9-0b46-4a43-9177-b8d59bf74367\n,carameljava\n,MakeBucks\n,CaribQT\n
wakkopoe\n,litbit\n,TonyOne\n,micromac\n
rusgel\n,UncleBuck\n,Coffee2go\n,chicagoj\n
nedrey\n,ColoradoJohn\n,HotAlt\n,dizzygirl\n
Mannagal\n,jctorres\n,pechipy\n,mamamiacher\n
alenem\n,tahiti\n,caprafan\n,forreal\n
BuckeyeMan\n,chinxiaoluke\n,M123456U\n,tjohnson1978\n
Sneffi\n,pumpkinlover97\n,r_m_p\n,Houlke\n
JoyMar\n,Beanz04\n,juthu\n,poop1\n
TheBon\n,Pam\n,temple\n,Delilah\n
Chaidye\n,pechipy\n,CaptainChris\n,leelamay\n
victorious1\n,stephs2\n,Featherly\n,Slew\n
Cheeka\n,cmlstudio\n,coffee920\n,ciratoby\n
kdlele\n,chinxiaoluke\n,tjohnson1978\n,BruinJef\n
sewergurl\n,me32\n,masterd1996\n,SBXMAM\n
sgurney\n,theharryo\n,capitts\n,coffeeloverxD1\n
Richar62\n,Meghraj\n,JCD\n,JulieM\n
longhrs\n,Ellsswhere\n,trironma\n,bballmer\n
pakowki\n,icedventima\n,1961\n,Beanz04\n
rayandsay\n,jacobsmom\n,CAR116\n,tanyaj\n
BeQay\n,Stockton\n,Decaf13\n,zarkesh\n
Jstncase\n,Jitendra\n,fretman\n,Dreyneerose\n
erookey\n,alyshagray\n,jeniel\n,M123456U\n
coffee31\n,MelissaM\n,musicn7\n,AsaTibb\n
janecoffee\n,Vitaco\n,coffee920\n,mcmorales\n
6SugarMocha\n,Celinefan\n,JavaGiuseppe\n,M123456U\n
OneBlonde\n,flutterbyy\n,Packerfan1966\n,Mouse720\n
elstella\n,PFraley\n,blakemed\n,winstonsalem\n
finicky\n,r_m_p\n,eaguilar\n,MaryLiza\n
forreal\n,alenem\n,chads\n,margopol\n
kai6novi\n,r_m_p\n,Coffe5oh\n,judyvermont\n
ddwife\n,mrjimmy\n,CoffeePerk\n,markds\n
wyfantnt\n,jordantheginga\n,christam\n,AliceZhang1234\n
edm15\n,ShawnaNichole\n,JasonB\n,coffeeloverxD1\n
AliceZhang1234\n,sullygirl\n,LindyNichols\n,queenflyer\n
XtallMocha\n,blakemed\n,tahiti\n,chads\n
grandeskimcap\n,blakemed\n,Dr_Mupapa\n,Sarahski\n
laur2835\n,tankmacman\n,Sarahski\n,chicagoj\n
mandymanesh\n,leelamay\n,MelissaM\n,morningrunner\n
dana_s\n,pumpkinlover97\n,Sherbert\n,MaryLiza\n
Taco\n,mickeygrumpy\n,NEGal\n,TonyML\n
pumpkinlover97\n,dana_s\n,Sneffi\n,YUMMYGOOD\n
bballmer\n,cdsamurai\n,dkato24\n,ArborMt\n
Jllman\n,picmeup\n,Serhattas\n,kai6novi\n
GR8Java\n,JulesCoffee\n,britbabe\n,margopol\n
Terra75\n,RevJohn\n,runningson\n,HotAlt\n
cvann077\n,its_okay\n,BruinJef\n,aesun\n
MaryLiza\n,mistyacr\n,dana_s\n,Pgy\n
DBoggs\n,another8a\n,KrystaandIan\n,newcustomer22\n
keoki21\n,ranesbitt14\n,mrjimmy\n,Willards69\n
starbucksguru12\n,YUMMYGOOD\n,necprc\n,zarkesh\n
sdpetrarca\n,DecafDiva0702\n,John_Smilez\n,Slew\n
krazy4starbks\n,HotAlt\n,nedrey\n,holmesr1\n
Dreyneerose\n,Cheeka\n,trironma\n,dkato24\n
Casafamily\n,Jllman\n,Shelbysac\n,swheart\n
Magpie54\n,tk7997\n,aesun\n,xpressoh\n
organia\n,kianster\n,jaygeek\n,wakkopoe\n
BruinJef\n,masterd1996\n,jramire2\n,margopol\n
grotepimmel\n,teodor2rempel\n,KingTim\n,cindabeckm\n
annemccabe\n,drgreenis\n,Abbie4me2\n,maryjack\n
Stache\n,dabeho\n,pakowki\n,elgundaker\n
COFFEEIS\n,valetmom\n,scoobydo\n,Pam\n
necprc\n,delxis\n,LisetteWannem\n,Coffee2go\n
blakemed\n,grandeskimcap\n,chads\n,XtallMocha\n
crescendoll\n,valetmom\n,pumpkinlover97\n,dustina25\n
MakeBucks\n,d8ad52c9-0b46-4a43-9177-b8d59bf74367\n,dlang\n,CaribQT\n
chads\n,Ellsswhere\n,XeoinArktos\n,JCD\n
N175312\n,3BE38A54-67F8-4471-A195-8CAF9D2B20C3\n,CoffeePerk\n,eabjork\n
Jivejava\n,Stellaaaaa\n,pechipy\n,CaptainChris\n
pikachiu132\n,croszell\n,ann26\n,mani123\n
OurMTDN\n,necprc\n,JoeH\n,CatalinaM\n
hollister503\n,jagfan7\n,TonyOne\n,tanyaj\n
holliday\n,tinahrfi\n,AndyinPgh\n,eaguilar\n
pechipy\n,Adrianadazo\n,CaptainChris\n,temple\n
leelamay\n,mandymanesh\n,maxwell9\n,raeolite\n
Darkkprncess\n,Sherbert\n,coffee920\n,kell\n
PFraley\n,MCommerce\n,laur2835\n,mo_java\n
atomicb\n,harleyflanders\n,Janay\n,CoffeeQwn\n
Duukes\n,NYCDIVA\n,Darkkprncess\n,LisetteWannem\n
luvestima\n,Rubicon\n,Pablo\n,kand\n
temple\n,pechipy\n,adob50\n,CM_\n
