suggestionId,body,author,link,title,category,votes,timestamp
(1652,"Seatlle is Nirvana, Melvins, Mudhoney and other grunge bands.\nGrunge is from Seattle so why dont you use it?\nMaybe you can make one single day, let's say 5th of April, as the memoria day of Kurt Cobain and Grunge day. Small discount to the one who will look \""grunge style\"".\nKurt is still popular and most of the people I see every morning in Moscow Starbucks are childs of 90th.\n",RussianMoscow\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IYr0AAG,Grunge day,Outside+USA,-150,12/24/2012 12:35 AM)
(1653,The Ugandan people would love to have a Starbucks in their country. \nAny hope of bringing one?\n,brownsweet\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IYzxAAG,International Location,Outside+USA,-40,12/26/2012 10:51 AM)
(1654,"I'm a partner of Starbucks China, many guests asked me whether have Trenta Size in China. And I always told them,Sorry. The USA Starbucks may have, but not China Mainland~Honestly,we arelooking forward tothe Trenta Size.Please bring the Trenta Size to China Mainland~\n",youngMaster\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IZS1AAO,Please bring the Trenta Size to China Mainland,Outside+USA,-60,12/30/2012 10:07 PM)
(1655,"\n\nAfter several unanswered Mails to the german Starbucks-team I bring my request to you:Please open a Starbucks Coffee House in REGENSBURG, Bavaria,Germany!\nHere is work, habitation and living. More than 150000 inhabitants in the city and more than 600000 in the closer area and especially more than 23000 students are waiting for you.Since 2007, when Regensburg became a World Heritage Site, plenty of tourists from all over the world are flooding the streets.Those are just some reasons, why Regensburg was elected in the Top10 of the German Cities the last few years.\nTheres just one thing thats missing  thats YOU !\nHope to hear from you soon,steph\n",starbucks4reg\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IZGtAAO,"Bring a Coffee House to Regensburg, Bavaria(Germany)",Outside+USA,-20,12/29/2012 6:56 AM)
(1656,pleas come to tabuk \n\n\n\n\n\nSTARBUCKS FOREVER \n,harrystyles\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IZaUAAW,why don't you come to Saudi Arabia?,Outside+USA,-20,1/1/2013 6:07 AM)
(1657,"Hi \nI heard you opened a store in Vietnam\nPlease please can you open in South Africa\nWe have the most beautiful cities\nJohannesburg being the hub \nDurban and Cape Town\nI hope you can fulfill my wish of Starbucks coming to South Africa in 2013 :)\n\nxx, Vishen\n",vishen\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IZhkAAG,Starbucks in south africa,Outside+USA,-70,1/2/2013 10:06 PM)
(1658,when's getting launched in India?\n,mukeshrijhwani\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IZkyAAG,Store in India?,Outside+USA,-40,1/3/2013 3:26 AM)
(1659,"BUILD STARBUCKS OUT SIDE THE USA IN EVERY COUNTRY \nJAPAN, CHINA, RUSSIA, NORWAY, VIRGIN ISLANDS, MARSHALL ISLANDS, MEXICO, CANADA, ALASKA, HAWAII, PURTO RICO, SOUTH AMERICA EVERYWHERE!!\n\n",Msmagenta\n,http://mystarbucksidea.force.com/ideaview?id=08750000000JyoaAAC,STARBUCKS EVERYWHERE,Outside+USA,-80,8/23/2014 8:25 AM)
(1660,"I am a Starbucks fan in China, who just moved back from the US. \nThanks to your hard work in providing consistent customer experience globally, every drink I have had in Starbucks China stores is as good as it has always been. \n\nHowever, I was disappointed that I cannot pay my Starbucks coffee with my iPhone anymore. Apparently, payment function has not been activated in Starbucks China APP. Furthermore, the rewards are not e-rewards. Though I can see them from the APP, I cannot redeem the rewards without the physical card on hand. \n\nI love the convenience US Starbucks APP brought to me. I really miss the e-wallet and scan-and-go payment.  Please introduce the amazing customer experience to all Starbucks fans in China!\n",cynthiachen\n,http://mystarbucksidea.force.com/ideaview?id=08750000000K34hAAC,Let's introduce e-wallet and scan-and-go payment to Starbucks China,Outside+USA,20,10/7/2014 11:27 PM)
(1661,I would love to come with my own mug because i don't want to make wastes. Do you think it will be possible one day? \n,Miradour\n,http://mystarbucksidea.force.com/ideaview?id=08750000000K89DAAS,my own mug,Outside+USA,-100,11/26/2014 12:31 PM)
(1662,"Hi!\n\nWhat about openinga Starbucks' stores here?\n\nIn Dominican Republic, a lot of people loves starbucks, and we are visited by tourists from all over the world...\n",PavelL\n,http://mystarbucksidea.force.com/ideaview?id=08750000000HECoAAO,Starbucks in Dominican Republic!,Outside+USA,70,1/17/2011 9:54 AM)
(1663,"I loved the variety and awesome deals on the 12 Days of Christmas last year. But this year the days seem repetitive (how many mugs/traveller, and lbs of coffee can I buy in 12 days?).  As well the special January traveller is not listed to be available this year in Canada (it was available in the US).\nNext year, all I want for Christmas is 12 different days of Christmas in Canada (including the special January traveller)!\nThanks\n",BonMik\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IXB3AAO,12 Days of Christmas,Outside+USA,40,12/7/2012 5:28 AM)
(1664,"I've visited a couple of your Coffee and Tea, inspired by Starbucks cafes in Seattle, and I think they're brilliant! The atmosphere is amazing, and the sense of community is valuable. I'm a Starbucks partner, and I would personally love to work in such a cafe here in Vancouver. I KNOW the people of Vancouver would love the concept. Please, please, please consider a cafe up north!\n",crescendoll\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IZQjAAO,"Please bring the \""Roy Street Coffee and Tea\"" concept to Vancouver, BC!!!",Outside+USA,20,12/30/2012 4:27 PM)
(1665,Free breva (half/half) milk..no extra charge!!\n,mcmorales\n,http://mystarbucksidea.force.com/ideaview?id=08750000000JEjoAAG,"Make the customer want to get what we really want, because of extra cost$$",Outside+USA,0,11/20/2013 9:06 PM)
(1666,"If you're not doing EVERTHING that you can to support sustainability and community investment, please please do. Thanks for your consideration!\n",ElSchteek\n,http://mystarbucksidea.force.com/ideaview?id=08750000000JENmAAO,"sustainable, community-based sourcing",Outside+USA,0,11/20/2013 8:59 PM)
(1667,"Hello,\n\nI'm from Brasilia, Brazil and I would like to know if it is possible to open a Starbucks store in my town. It doesn't have any yet and that's why i think it would be a big sucess.\n\nThank you.\n",taishabka\n,http://mystarbucksidea.force.com/ideaview?id=08750000000JUdNAAW,Open a starbucks store in Brasilia-Brazil,Outside+USA,60,12/10/2013 5:01 PM)
(3158,"Starbucks has always been such a forward thinking business along with a socially responsible company I think joining forces to offer (in addition to retail sales of socially responsibly CD's,DVD's, EthosWater, and many more incredible programs) H.U.B. which stands for Humanity Unites Brilliance.  Here is what we do, what we offer, and what makes us incredibly unique as well.\""Sustained Giving\""  http://tripp.hubhub.org.What We AreThe central uniting place for people and organizations to come together and move our world from survival, to self-sustainability, to self-empowerment A new model for business and humanitarian living A social community supported by a powerful social marketing program A source for you to gain access to the finest tools, resources and products to help you use your passions to transform yourself and the world - including the world's most inspirational educators, best-selling empowerment authors, top empowerment curriculums, and more What We DoUnite some of the most effective non-profit and for-benefit organizations, such as food companies, education companies, micro-loan companies, and more, combining their contributions, creating the full package, allowing communities to receive the resources necessary to sustain themselves on every level Unite your brilliance with other like-minded people, social change leaders and organizations, allowing you to use your resources and passions to change our world Maintain an economic engine that not only creates consistent funding for important humanitarian works, but grows exponentially and creates financial abundance for those who help us generate the dollars - a revolutionary way to give that we call sustainable global giving The HUB VisionWe are committed to individual transformation and the transformation of the entire planet.Over the next 5 years, HUBs goals are to:Unite over 8 million souls and 5 thousand organizations dedicated to changing the world, Empower over 40 million people through sustainable global giving, and Create a self-sustaining organization capable of more abundant giving each year. Our First GoalOur first order of business is to grow to 400,000 members.  For perspective, when we, as HUB, reach this size, we will be:Feeding 6.5 million children Educating 6.5 million children in 12,000 HUB schools Providing pure water for 22 million people Providing micro-loans for millions of entrepreneurs who are producing products and services designed to benefit the planet Why is this our first goal?  Because we know its possible and because this kind of impact has the potential to significantly change our world.What Does Being A Member Mean?Being a HUB member means you join our empowerment community and give $99 monthly.  Every month, you will be helping to:Feed 3 children Educate 3 children Provide clean water for 10 people, and Provide environmental sustainability training to 16 people http://tripp.huhub.org \n",Tripp\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YK5AAM,"\""Offering H.U.B. in Your Stores\""",Social+Responsibility,20,4/14/2008 3:07 PM)
(3159,Purchase only shade grown coffee beans \n,holliday\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YKHAA2,shade grown coffee beans,Social+Responsibility,40,4/14/2008 2:54 PM)
(3160,"I love the new splash guards, but I was a little bothered by the idea of having yet another thing to add to a garbage can or recycling bin when I forget my travel mug at home.How about putting up a little sign near the condiment bar encouraging customers to use the splash guards as their stir sticks instead of using the wooden stir sticks you make available? That way, people who add cream or sugar to their coffee won't be using any more resources than they were before the introduction of the splash guards. It's just a little thing, but it couldn't hurt. \n",Annyong\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YLTAA2,Earth-friendly splash guards,Social+Responsibility,30,4/14/2008 3:49 PM)
(3161,"From a Starbucks shareholder.  Ditch the Social Responsibility garbage.  Starbucks mission in life should be supplying great coffee, beverages, and atmosphere to its customers, and returns to its shareholders.  Anything that takes the corporation's eye off the ball diminishes its effectiveness.  I go into Starbucks for a great cup of coffee, not for good feelings, or to \""change the world\"".  Take a look at what the share price has done-my shares have lost value since I bought them.  This should communicate that the mission is not being fulfilled. \n",violino1\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YLrAAM,An unpopular idea,Social+Responsibility,20,4/14/2008 3:34 PM)
(3162,"I would like to see Starbucks serve drinks in ceramic mugs for those who plan to sit and enjoy their drink in the store. It would be less wasteful to use reusable cups and mugs. I also think it adds to the atmosphere/ambience- sometimes you would just like to sit in a cozy coffee shop with a MUG (not cardboard cup) of your favorite drink and enjoy pleasant discourse with your friends. I recall ordering at a Starbucks once and they served my coffee cake on a plate with a fork. Why can't they do the same for \""in house\"" coffee drinkers?P.S. This would be a perfect opportunity to advertise the Starbucks mugs that are for sale on the store shelves! \n",britbabe\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YOWAA2,Ditch the cardboard cups for those NOT on the go!,Social+Responsibility,20,4/14/2008 5:42 PM)
(3163,Start asking the customer if they want a Receipt. So the customer has to option of saying NO.  Not only will you save on paper..its in the spirit of going green! \n,tk7997\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YOuAAM,Stop the Receipts   MARCH 26,Social+Responsibility,70,4/14/2008 5:18 PM)
(3164,"I won't say who but a certain chain is trying to compete with Starbucks by giving away free lattes.  Please!!! They use corn syrup instead of sugar and processed whipped cream.  Yuck!!! Get the word out why would we  frequent a place that has tried to poison our bodies and our minds with chemicals.  Starbucks donates to worthy organizations, offers medical insurance to it's employees (even part-timers), helps the communities they serve, AND serves fresh milk, soymilk, uses real sugar, real honey, uses fair trade coffees and teas.  What is the discussion here?  Yippee to starbucks.  It is worth every penny.  Friends don't let friends drink even free coffee from places that destroy our planet!! \n",frankie1\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YQgAAM,Fast Food Places Can't Compete,Social+Responsibility,30,4/14/2008 6:45 PM)
(3165,"I received an email many months ago saying that  our troops were asking for \""real\"" coffee.  Upon a request, Starbucks was asked to donate some coffee to the troops to enjoy in the sub zero weather.  The reply was \""NO\"". We were asked to boycott Starbucks and pass the email on to others.  I did that and have not been to Starbucks since.  I used to meet friends there and enjoy the products that were offered.  Not now as I have a grandson that is serving his third deployment in this war.  I sent him coffee for Christmas (Folgers) which he thorougly enjoyed.  I would have sent Starbucks had you been more giving to this brave men and women that are not asking for a great deal from us. \n",cater\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YQnAAM,Coffee in Iraq and Afganastan,Social+Responsibility,110,4/14/2008 7:04 PM)
(3166,"Would love to see Starbucks become one of our \""Businesses Who Care\"" on Make the Difference Network (www.mtdn.com), where businesses can sponsor 2.0 technology for small to medium-sized non-profits.  Great social network - we hope MTDN will become the MY SPACE of GIVING!Check out our site - we're still in beta and would appreciate your feedback. \n",OurMTDN\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YRaAAM,Make the Difference Network,Social+Responsibility,40,4/14/2008 8:30 PM)
(3167,Starbucks is the most socially responsible company I have ever heard of.  You exhibit all of the attributes of being a great neighbor both here and abroad but I find myself having to defend Starbucks all the time.  I believe it would be good to get some of that good will out there in the public eye so that all your shareholders can see what you do every day to make this world a better place.  I am currently finishing up my last year in college and I find that many students don't know how much Starbucks does to make people's lives better.  Get it out there so that everyone knows how much Starbucks cares about everyone it touches. \n,JCD\n,http://mystarbucksidea.force.com/ideaview?id=087500000004YUEAA2,"Since You Got It, Flaunt It",Social+Responsibility,20,4/14/2008 10:06 PM)
(4425,"The idea of recycling bins seems to have been discussed at length by customers and SBs team members. We've learned that recycling varies from community to community as well as business vs. residential.\n\nWhat about \""recapture\"" bins? The thought being, if a waste hauler, somewhere can accept plastic #5 (or any other material not readily accepted for recycling in a community) why not recapture it and contract for the hauler/recycler to pick up the product and take it to where it can be recycled.\nOr, to help underwrite the project, find a company that can actually use the plastic #5 (or other material) in a post recycled manner (to make another product).\nFor example, #5 isn't recycled in ABC city but SBs has  recapture bins available. Waste hauler (or company who can use the recycled material) picks up the product, recycles it and then re-uses it to manufacture another product. The recapture bins can also be taken to central drop off sites to make the program easier.\n\nThis is already in place with other plastic materials not typically picked up curbside.\nThoughts???????\n",plztrustme\n,http://mystarbucksidea.force.com/ideaview?id=087500000005B8KAAU,"\""Recapture\"" bins",Social+Responsibility,60,11/14/2008 10:05 PM)
(4426,"To accompany the (RED) promotion, why not offer a (RED) coffee traveler? (this is the cardboard \""box\"" of coffee) Have $3.00 or so go the the (RED) campaign when you buy one. Make the box red with the logo and all the fixins come in little red sacks(like santa's). Oh how wonderful!!!!!\n",cindabeckm\n,http://mystarbucksidea.force.com/ideaview?id=087500000005B8fAAE,(RED) Coffee Traveler,Social+Responsibility,30,11/15/2008 7:37 AM)
(4427,As a teacher I would love to have children and their parents come and listen to books from local authors or teachers.  I know children love stories and it would be a nice way for parents to have their children listen to stories if they had a long day and just want to relax.  Many teachers would love to volunteer their time (with a free drink) to read aloud to a group of children.  I know many of my co-workers always are looking for things to volunteer for during their free time.\n,musicn7\n,http://mystarbucksidea.force.com/ideaview?id=087500000005BBiAAM,Reading time at Starbucks,Social+Responsibility,-20,11/16/2008 11:26 AM)
(4428,"Repackage the candy in paper, and make a great big deal of it to embarrass Altoids and Tic-Tacs into doing the same.  Necco Wafers have made do with a twist of wax paper for 96 years, and Chiclets with a scrap of cardboard since 1912.  I understand the practical and aesthetic value of metal, but its just not worth it.  Save some money, keep junk out of landfills, impress your environmentally responsible customers and employees. thanks\n",Magpie54\n,http://mystarbucksidea.force.com/ideaview?id=087500000005BErAAM,Keep up with classic candies,Social+Responsibility,30,11/17/2008 7:13 AM)
(4429,"Since Starbucks has done such a wonderful job of telling us where the coffee beans are grown and supporting Fair Trade programs, I'd like to see more about the other inputs that are used in making drinks and other products at my local store.  Are the dairy products from a local dairy?  I would certainly hope.  The same goes for the baked products.  I'd feel better if I knew the cookie I bought was made earlier that day by a local bakery.\n",AndyinPgh\n,http://mystarbucksidea.force.com/ideaview?id=087500000005BGdAAM,More transparency/support local agriculture,Social+Responsibility,40,11/17/2008 12:32 PM)
(5736,"It's a nonsense that Starbuck that says everywhere that it cares about environment is one of the only coffee shop I know that sells its products in plastic cups even to consumers who drink inside. To be conscious about environment means to reduce, reuse and only then, recycle. To say that you are counscious about ecology because you use special plastic or recycle your glass isn't satisfying, it shows either ignorance or that the company's only value is having a good image. Starbuck's coffee shop got dishes and dishwashers, so why don't use them ? Be coherent and honest when you say you care about environment ! Be responsible. And then, be proud.\n",Maryzoue\n,http://mystarbucksidea.force.com/ideaview?id=087500000005R7RAAU,Use real cup instead of plastic,Social+Responsibility,-70,7/4/2009 8:55 AM)
(5737,"I have heard that STARBUCKS has refused to honor our troops who are fighting for STARBUCKS freedom to do just that - dishonor or fighting troops.  That is STARBUCKS priviledge as the Servicemen and Women have made it so.\n\nMy idea, and I am passing it along to all my e-pals, is to never buy another STARBUCKS item.\n\nNEVER BUY ANOTHER STARBUCKS ITEM.\n",emmjaypP\n,http://mystarbucksidea.force.com/ideaview?id=087500000005RIUAA2,Starbucks purchases,Social+Responsibility,-100,7/7/2009 12:59 PM)
(5738,"Ever moved to find that an lower level employee or the MANAGER of your most local Starbucks is a complete anti-social, inconsiderate, intolerable, and otherwise bias individual or observed that another employee is excelling in their kindness to a customer and you've had no way to give a higher order the insight of that employee's rude behavior or hospitality.I seriously promote a system of entering credentials towards an employee's actions.  Positive or negative feedback allowed, of course.  I've had the most uncomfortable example of this happening to me.July 1st, I moved to East Ridge, TN, and upon coming to this new location I went job hunting immediately. I applied for a job at the closest Starbucks, upon coming across the location, I asked for a application, and was redirected to printing one off of the internet, minor problem.Upon returning I turned my application in to a lovely employee who actually, while on break, had a conversation with, and she promoted the idea of me joining the work force, because like her, I'm a kind individual.  Or at least I like to think that living positively is a good thing.  By this point I had questioned about the Manager of her shift, and she exclaimed that he was a mean person.I went to said Starbucks today, same manager, and I bought a drink.  It was me and my younger brother, he's 15.  We get condiments from a small station set up for sugars, substitute sugars, ect.  And we sat back down.  We went back because I was going to tell my little brother about the layout of this station and the manager tells us that we've had enough, as if to tell us that we are not welcome in this area of the store, while explaining to us that we are holding up customers, which, there were none waiting to use the station, nor were we blocking the entire station.So we don't fight him, we accept and walk back to seating area.  While there, I continue to look back over at the employees at work, inspecting the areas where the flavors, additives, and utensils were properly at use and the technique of these workers.  I remind you, that I had put an application in, and this was the place I was looking forward to work at.  I'm watching, and I catch the manager's eyes.  He promptly walks around the counter and tells me and my younger brother to leave the establishment because we aren't welcome there anymore.  I would give the considerate employee his job. Fire him, and give her job to someone more worthy to work with people.After explaining the situation with him, he abruptly told me that he was not appreciative of my work ethic, in which I wanted to know how to do the job. He refused to tell me his name.  I still refuse to file a complaint.If it's not the manager's worry to support his social responsibility, and in doing so, promote a hospitable atmosphere in which someone can enjoy their time, spend it in a comfortable, and overall welcoming place of work or congregation, then morality is truly low.I highly admire the employee who would rather converse with you than look at you as a fellow human being.  I will try my hardest to bring this to the attention of a higher authority.   Customer Input is vital to success on a customer satisfaction level.  Thank you for your time.Truly yours,Xe\n",XeoinArktos\n,http://mystarbucksidea.force.com/ideaview?id=087500000005RJxAAM,Costumer Input on Employees System,Social+Responsibility,20,7/7/2009 4:36 PM)
(5739,"Why don't you post on a large sign \""Bring Your Own Cup for a Greener Environment\"" so customers become aware of this practice.\n",teodor2rempel\n,http://mystarbucksidea.force.com/ideaview?id=087500000005ciUAAQ,Bring you own cup,Social+Responsibility,1180,11/10/2009 8:45 AM)
